player_id,player_name,level,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts_batting,stolen_bases,caught_stealing,left_on_base,ground_into_double_play,innings_pitched,hits_allowed,runs_allowed,earned_runs,walks_allowed,strikeouts_pitching,home_runs_allowed,inherited_runners,inherited_runners_scored,batting_average,on_base_percentage,slugging_percentage,era,whip,strike_percentage,ops,primary_position
687208,Nathan Hickey,AAA,1,4,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,NA,NA,0,0.75,Batter
687221,Dalton Rushing,AAA,2,6,0,1,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.5,0.16666666666666666,NA,NA,0,0.6666666666666666,Batter
687222,William Silva,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,NA,NA,NA,0,0.5,75,NA,Pitcher
687225,Billy Seidl,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,2,0,1,0,NA,NA,NA,0,0,76.92307692307693,NA,Pitcher
687242,Justin Miknis,A,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
687248,Keshawn Ogans,AA,1,4,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
687259,Luke Bell,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,70,NA,Pitcher
687260,Brian Kalmer,A+,4,13,2,1,1,0,0,1,2,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.2,0.15384615384615385,NA,NA,0,0.35384615384615387,Batter
687268,K.C. Hunt,A+,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,1,13,0,0,0,NA,NA,NA,0,0.45454545454545453,64.33463796477496,NA,Pitcher
687272,Tucker Flint,AA,1,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687272,Tucker Flint,AAA,1,4,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.5,NA,NA,0,2,Batter
687282,Gabriel Rincones Jr.,AA,2,7,0,1,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.25,0.14285714285714285,NA,NA,0,0.39285714285714285,Batter
687284,Thomas Gavello,A+,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687287,Patrick Monteverde,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,7,2,4,3,0,0,NA,NA,NA,21,3.3333333333333335,60.46511627906976,NA,Pitcher
687310,Will Simpson,A+,1,3,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.3333333333333333,NA,NA,0,0.8333333333333333,Batter
687315,Christian Pregent,A+,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,NA,NA,0,0.3333333333333333,Batter
687328,Luis Ramirez,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,6,0,0,0,NA,NA,NA,0,1,58.730158730158735,NA,Pitcher
687331,Quincy McAfee,AA,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,NA,0,0.6666666666666666,Batter
687331,Quincy McAfee,AAA,1,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,NA,0,3,Batter
687352,Grant Ford,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,NA,NA,NA,0,1,62.5,NA,Pitcher
687362,Connor Gillispie,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,1,0,0,1,5,0,0,0,NA,NA,NA,0,0.9523809523809523,63.63636363636363,NA,Pitcher
687363,Victor Scott II,AAA,1,5,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,NA,NA,0,1,Batter
687377,Orlando Ribalta,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,NA,NA,NA,0,2,61.53846153846154,NA,Pitcher
687377,Orlando Ribalta,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,NA,NA,0,1,70.58823529411765,NA,Pitcher
687396,Brent Headrick,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,NA,NA,NA,0,0.5,54.54545454545454,NA,Pitcher
687422,Chris Mauloni,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,1,3,0,2,1,NA,NA,NA,0,0.9090909090909091,61.53846153846154,NA,Pitcher
687423,Triston Polley,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,0,1,90,NA,Pitcher
687431,Hudson Head,A+,1,3,2,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,1.3333333333333333,NA,NA,0,1.8333333333333333,Batter
687462,Spencer Horwitz,AAA,2,6,1,1,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.375,0.6666666666666666,NA,NA,0,1.0416666666666665,Batter
687470,Chandler Redmond,AA,1,3,1,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,NA,0,0.6666666666666666,Batter
687470,Chandler Redmond,AAA,1,3,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0,NA,NA,0,0.25,Batter
687478,Cam Devanney,AAA,3,12,2,5,3,0,0,9,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,0.4166666666666667,0.6666666666666666,NA,NA,0,1.0833333333333333,Batter
687486,Fineas Del Bonta-Smith,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,2,0,1,0,NA,NA,NA,0,0,63.63636363636363,NA,Pitcher
687512,Montana Semmel,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,1,1,0,NA,NA,NA,3,0.3333333333333333,80.95238095238095,NA,Pitcher
687526,Marcus Smith,A,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687543,Andrew Jenkins,A,1,4,1,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.25,NA,NA,0,1.75,Batter
687545,Blake Robertson,A+,1,4,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
687551,Drew Gilbert,AAA,1,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
687553,Kamren James,A+,1,5,0,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,NA,NA,0,0.8,Batter
687554,DJ Gladney,A+,1,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687554,DJ Gladney,AA,1,6,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687567,Jorel Ortega,AA,4,11,0,2,1,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.18181818181818182,0.2727272727272727,NA,NA,0,0.45454545454545453,Batter
687578,David Leal,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,6,2,2,0,2,0,0,0,NA,NA,NA,8.181818181818182,2.727272727272727,76.74418604651163,NA,Pitcher
687588,Micah Pries,AAA,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,NA,0,0.6666666666666666,Batter
687605,Andrew Pinckney,AA,3,14,4,5,0,0,0,1,1,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0.35714285714285715,0.4,0.35714285714285715,NA,NA,0,0.7571428571428571,Batter
687606,Paxton Schultz,AAA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,10,4,4,2,17,0,3,2,NA,NA,NA,3.1858407079646014,1.0619469026548671,65.58012897566867,NA,Pitcher
687607,Edgar Barclay,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,3,4,0,0,0,NA,NA,NA,0,1,56.16438356164384,NA,Pitcher
687625,Kai Murphy,A+,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,NA,NA,0,0.4,Batter
687629,Bo Bonds,A+,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,NA,NA,NA,0,0.5,78.23529411764706,NA,Pitcher
687630,Donovan Benoit,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1,1,0,0,0,NA,NA,NA,0,2.5,58.536585365853654,NA,Pitcher
687649,Nick Mondak,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,0,0,NA,NA,NA,0,1,58.139534883720934,NA,Pitcher
687659,Kaden Polcovich,AA,2,7,1,2,0,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.375,0.2857142857142857,NA,NA,0,0.6607142857142857,Batter
687667,Luis Valdez,A+,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687672,Yovanny Cabrera,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,2,2,2,1,0,1,0,NA,NA,NA,90,20,41.66666666666667,NA,Pitcher
687677,Arij Fransen,A+,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7,0,0,3,2,0,2,1,NA,NA,NA,0,1.3888888888888888,59.60864532293104,NA,Pitcher
687714,Jackson Cluff,AAA,2,7,3,3,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.42857142857142855,0.8571428571428571,NA,NA,0,1.2857142857142856,Batter
687724,Jake Holton,AA,2,6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687731,Trevor Werner,A+,3,12,0,2,1,0,0,0,1,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.23076923076923078,0.25,NA,NA,0,0.4807692307692308,Batter
687749,Jase Bowen,AA,3,13,0,2,0,0,0,0,0,4,0,0,14,1,0,0,0,0,0,0,0,0,0,0.15384615384615385,0.15384615384615385,0.15384615384615385,NA,NA,0,0.3076923076923077,Batter
687751,Cortland Lawson,AA,2,8,1,1,0,1,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0.125,0.2222222222222222,0.375,NA,NA,0,0.5972222222222222,Batter
687776,Alejandro Torres,A+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,NA,NA,NA,0,0,65.51724137931035,NA,Pitcher
687783,Matthew Wood,A+,1,4,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
687793,Nick Vogt,A,1,4,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,Batter
